Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2009Q1,Sequestration order,Other,No,8
2009Q1,Total bankruptcies,New South Wales,No,1775
2009Q1,Total bankruptcies,Victoria,No,986
2009Q1,Total bankruptcies,Queensland,No,1107
2009Q1,Total bankruptcies,South Australia,No,385
2009Q1,Total bankruptcies,Western Australia,No,282
2009Q1,Total bankruptcies,Tasmania,No,184
2009Q1,Total bankruptcies,Northern Territory,No,18
2009Q1,Total bankruptcies,Australian Capital Territory,No,48
2009Q1,Total bankruptcies,Other,No,19
2009Q1,Deceased estate,New South Wales,No,1
2009Q1,Deceased estate,Victoria,No,0
2009Q1,Deceased estate,Queensland,No,0
2009Q1,Deceased estate,South Australia,No,0
2009Q1,Deceased estate,Western Australia,No,0
2009Q1,Deceased estate,Tasmania,No,0
2009Q1,Deceased estate,Northern Territory,No,0
2009Q1,Deceased estate,Australian Capital Territory,No,0
2009Q1,Deceased estate,Other,No,1
2009Q1,Debt agreement,New South Wales,No,652
2009Q1,Debt agreement,Victoria,No,541
2009Q1,Debt agreement,Queensland,No,480
2009Q1,Debt agreement,South Australia,No,72
2009Q1,Debt agreement,Western Australia,No,123
2009Q1,Debt agreement,Tasmania,No,54
2009Q1,Debt agreement,Northern Territory,No,19
2009Q1,Debt agreement,Australian Capital Territory,No,19
2009Q1,Debt agreement,Other,No,2
2009Q1,Personal insolvency agreement,New South Wales,No,10
2009Q1,Personal insolvency agreement,Victoria,No,40
2009Q1,Personal insolvency agreement,Queensland,No,5
2009Q1,Personal insolvency agreement,South Australia,No,0
2009Q1,Personal insolvency agreement,Western Australia,No,0
2009Q1,Personal insolvency agreement,Tasmania,No,0
2009Q1,Personal insolvency agreement,Northern Territory,No,0
2009Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2009Q1,Personal insolvency agreement,Other,No,0
2009Q2,Debtor's petition,New South Wales,No,1540
2009Q2,Debtor's petition,Victoria,No,941
2009Q2,Debtor's petition,Queensland,No,1036
2009Q2,Debtor's petition,South Australia,No,358
2009Q2,Debtor's petition,Western Australia,No,297
2009Q2,Debtor's petition,Tasmania,No,166
2009Q2,Debtor's petition,Northern Territory,No,15
2009Q2,Debtor's petition,Australian Capital Territory,No,38
2009Q2,Debtor's petition,Other,No,10
2009Q2,Sequestration order,New South Wales,No,97
2009Q2,Sequestration order,Victoria,No,49
2009Q2,Sequestration order,Queensland,No,28
2009Q2,Sequestration order,South Australia,No,8
2009Q2,Sequestration order,Western Australia,No,6
2009Q2,Sequestration order,Tasmania,No,6
2009Q2,Sequestration order,Northern Territory,No,1
2009Q2,Sequestration order,Australian Capital Territory,No,3
2009Q2,Sequestration order,Other,No,4
2009Q2,Total bankruptcies,New South Wales,No,1637
2009Q2,Total bankruptcies,Victoria,No,990
2009Q2,Total bankruptcies,Queensland,No,1064
2009Q2,Total bankruptcies,South Australia,No,366
2009Q2,Total bankruptcies,Western Australia,No,303
2009Q2,Total bankruptcies,Tasmania,No,172
2009Q2,Total bankruptcies,Northern Territory,No,16
2009Q2,Total bankruptcies,Australian Capital Territory,No,41
2009Q2,Total bankruptcies,Other,No,14
2009Q2,Deceased estate,New South Wales,No,0
2009Q2,Deceased estate,Victoria,No,0
2009Q2,Deceased estate,Queensland,No,0
2009Q2,Deceased estate,South Australia,No,0
2009Q2,Deceased estate,Western Australia,No,0
2009Q2,Deceased estate,Tasmania,No,0
2009Q2,Deceased estate,Northern Territory,No,0
2009Q2,Deceased estate,Australian Capital Territory,No,0
2009Q2,Deceased estate,Other,No,1
2009Q2,Debt agreement,New South Wales,No,766
2009Q2,Debt agreement,Victoria,No,552
2009Q2,Debt agreement,Queensland,No,558
2009Q2,Debt agreement,South Australia,No,60
2009Q2,Debt agreement,Western Australia,No,177
2009Q2,Debt agreement,Tasmania,No,49
2009Q2,Debt agreement,Northern Territory,No,14
2009Q2,Debt agreement,Australian Capital Territory,No,27
2009Q2,Debt agreement,Other,No,1
2009Q2,Personal insolvency agreement,New South Wales,No,15
2009Q2,Personal insolvency agreement,Victoria,No,50
2009Q2,Personal insolvency agreement,Queensland,No,4
2009Q2,Personal insolvency agreement,South Australia,No,2
2009Q2,Personal insolvency agreement,Western Australia,No,4
2009Q2,Personal insolvency agreement,Tasmania,No,0
2009Q2,Personal insolvency agreement,Northern Territory,No,1
2009Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2009Q2,Personal insolvency agreement,Other,No,1
2009Q3,Debtor's petition,New South Wales,No,1632
2009Q3,Debtor's petition,Victoria,No,982
2009Q3,Debtor's petition,Queensland,No,1047
2009Q3,Debtor's petition,South Australia,No,362
2009Q3,Debtor's petition,Western Australia,No,328
2009Q3,Debtor's petition,Tasmania,No,176
2009Q3,Debtor's petition,Northern Territory,No,18
2009Q3,Debtor's petition,Australian Capital Territory,No,38
2009Q3,Debtor's petition,Other,No,13
2009Q3,Sequestration order,New South Wales,No,73
2009Q3,Sequestration order,Victoria,No,43
2009Q3,Sequestration order,Queensland,No,30
2009Q3,Sequestration order,South Australia,No,13
2009Q3,Sequestration order,Western Australia,No,9
2009Q3,Sequestration order,Tasmania,No,2
2009Q3,Sequestration order,Northern Territory,No,0
2009Q3,Sequestration order,Australian Capital Territory,No,6
2009Q3,Sequestration order,Other,No,8
2009Q3,Total bankruptcies,New South Wales,No,1705
2009Q3,Total bankruptcies,Victoria,No,1025
2009Q3,Total bankruptcies,Queensland,No,1077
2009Q3,Total bankruptcies,South Australia,No,375
2009Q3,Total bankruptcies,Western Australia,No,337
2009Q3,Total bankruptcies,Tasmania,No,178
2009Q3,Total bankruptcies,Northern Territory,No,18
2009Q3,Total bankruptcies,Australian Capital Territory,No,44
2009Q3,Total bankruptcies,Other,No,21
2009Q3,Deceased estate,New South Wales,No,0
2009Q3,Deceased estate,Victoria,No,0
2009Q3,Deceased estate,Queensland,No,0
2009Q3,Deceased estate,South Australia,No,0
2009Q3,Deceased estate,Western Australia,No,0
2009Q3,Deceased estate,Tasmania,No,0
2009Q3,Deceased estate,Northern Territory,No,0
2009Q3,Deceased estate,Australian Capital Territory,No,0
2009Q3,Deceased estate,Other,No,3
2009Q3,Debt agreement,New South Wales,No,693
2009Q3,Debt agreement,Victoria,No,550
2009Q3,Debt agreement,Queensland,No,500
2009Q3,Debt agreement,South Australia,No,71
2009Q3,Debt agreement,Western Australia,No,178
2009Q3,Debt agreement,Tasmania,No,64
2009Q3,Debt agreement,Northern Territory,No,11
2009Q3,Debt agreement,Australian Capital Territory,No,28
2009Q3,Debt agreement,Other,No,1
2009Q3,Personal insolvency agreement,New South Wales,No,24
2009Q3,Personal insolvency agreement,Victoria,No,53
2009Q3,Personal insolvency agreement,Queensland,No,5
2009Q3,Personal insolvency agreement,South Australia,No,2
2009Q3,Personal insolvency agreement,Western Australia,No,3
2009Q3,Personal insolvency agreement,Tasmania,No,1
2009Q3,Personal insolvency agreement,Northern Territory,No,0
2009Q3,Personal insolvency agreement,Australian Capital Territory,No,0
2009Q3,Personal insolvency agreement,Other,No,1
2009Q4,Debtor's petition,New South Wales,No,1488
2009Q4,Debtor's petition,Victoria,No,826
2009Q4,Debtor's petition,Queensland,No,1124
2009Q4,Debtor's petition,South Australia,No,334
2009Q4,Debtor's petition,Western Australia,No,303
2009Q4,Debtor's petition,Tasmania,No,143
2009Q4,Debtor's petition,Northern Territory,No,21
2009Q4,Debtor's petition,Australian Capital Territory,No,31
2009Q4,Debtor's petition,Other,No,10
2009Q4,Sequestration order,New South Wales,No,66
2009Q4,Sequestration order,Victoria,No,54
2009Q4,Sequestration order,Queensland,No,45
2009Q4,Sequestration order,South Australia,No,12
2009Q4,Sequestration order,Western Australia,No,10
2009Q4,Sequestration order,Tasmania,No,3
2009Q4,Sequestration order,Northern Territory,No,3
2009Q4,Sequestration order,Australian Capital Territory,No,4
2009Q4,Sequestration order,Other,No,2
2009Q4,Total bankruptcies,New South Wales,No,1554
2009Q4,Total bankruptcies,Victoria,No,880
2009Q4,Total bankruptcies,Queensland,No,1169
2009Q4,Total bankruptcies,South Australia,No,346
2009Q4,Total bankruptcies,Western Australia,No,313
2009Q4,Total bankruptcies,Tasmania,No,146
2009Q4,Total bankruptcies,Northern Territory,No,24
2009Q4,Total bankruptcies,Australian Capital Territory,No,35
2009Q4,Total bankruptcies,Other,No,12
2009Q4,Deceased estate,New South Wales,No,0
2009Q4,Deceased estate,Victoria,No,0
2009Q4,Deceased estate,Queensland,No,0
2009Q4,Deceased estate,South Australia,No,0
2009Q4,Deceased estate,Western Australia,No,0
2009Q4,Deceased estate,Tasmania,No,0
2009Q4,Deceased estate,Northern Territory,No,0
2009Q4,Deceased estate,Australian Capital Territory,No,0
2009Q4,Deceased estate,Other,No,3
2009Q4,Debt agreement,New South Wales,No,581
2009Q4,Debt agreement,Victoria,No,454
2009Q4,Debt agreement,Queensland,No,479
2009Q4,Debt agreement,South Australia,No,72
2009Q4,Debt agreement,Western Australia,No,169
2009Q4,Debt agreement,Tasmania,No,42
2009Q4,Debt agreement,Northern Territory,No,11
2009Q4,Debt agreement,Australian Capital Territory,No,25
2009Q4,Debt agreement,Other,No,2
2009Q4,Personal insolvency agreement,New South Wales,No,34
2009Q4,Personal insolvency agreement,Victoria,No,60
2009Q4,Personal insolvency agreement,Queensland,No,8
2009Q4,Personal insolvency agreement,South Australia,No,1
2009Q4,Personal insolvency agreement,Western Australia,No,4
2009Q4,Personal insolvency agreement,Tasmania,No,0
2009Q4,Personal insolvency agreement,Northern Territory,No,1
2009Q4,Personal insolvency agreement,Australian Capital Territory,No,1
2009Q4,Personal insolvency agreement,Other,No,0
2010Q1,Debtor's petition,New South Wales,No,1405
2010Q1,Debtor's petition,Victoria,No,879
2010Q1,Debtor's petition,Queensland,No,1109
2010Q1,Debtor's petition,South Australia,No,368
2010Q1,Debtor's petition,Western Australia,No,294
2010Q1,Debtor's petition,Tasmania,No,145
2010Q1,Debtor's petition,Northern Territory,No,21
2010Q1,Debtor's petition,Australian Capital Territory,No,47
2010Q1,Debtor's petition,Other,No,6
2010Q1,Sequestration order,New South Wales,No,89
2010Q1,Sequestration order,Victoria,No,57
2010Q1,Sequestration order,Queensland,No,50
2010Q1,Sequestration order,South Australia,No,8
2010Q1,Sequestration order,Western Australia,No,6
2010Q1,Sequestration order,Tasmania,No,1
2010Q1,Sequestration order,Northern Territory,No,1
2010Q1,Sequestration order,Australian Capital Territory,No,3
2010Q1,Sequestration order,Other,No,14
2010Q1,Total bankruptcies,New South Wales,No,1494
2010Q1,Total bankruptcies,Victoria,No,936
2010Q1,Total bankruptcies,Queensland,No,1159
2010Q1,Total bankruptcies,South Australia,No,376
2010Q1,Total bankruptcies,Western Australia,No,300
2010Q1,Total bankruptcies,Tasmania,No,146
2010Q1,Total bankruptcies,Northern Territory,No,22
2010Q1,Total bankruptcies,Australian Capital Territory,No,50
2010Q1,Total bankruptcies,Other,No,20
2010Q1,Deceased estate,New South Wales,No,0
2010Q1,Deceased estate,Victoria,No,0
2010Q1,Deceased estate,Queensland,No,0
2010Q1,Deceased estate,South Australia,No,0
2010Q1,Deceased estate,Western Australia,No,0
2010Q1,Deceased estate,Tasmania,No,0
2010Q1,Deceased estate,Northern Territory,No,0
2010Q1,Deceased estate,Australian Capital Territory,No,0
2010Q1,Deceased estate,Other,No,5
2010Q1,Debt agreement,New South Wales,No,654
2010Q1,Debt agreement,Victoria,No,387
2010Q1,Debt agreement,Queensland,No,558
2010Q1,Debt agreement,South Australia,No,81
2010Q1,Debt agreement,Western Australia,No,164
2010Q1,Debt agreement,Tasmania,No,44
2010Q1,Debt agreement,Northern Territory,No,14
2010Q1,Debt agreement,Australian Capital Territory,No,18
2010Q1,Debt agreement,Other,No,3
2010Q1,Personal insolvency agreement,New South Wales,No,26
2010Q1,Personal insolvency agreement,Victoria,No,62
2010Q1,Personal insolvency agreement,Queensland,No,3
2010Q1,Personal insolvency agreement,South Australia,No,1
2010Q1,Personal insolvency agreement,Western Australia,No,0
2010Q1,Personal insolvency agreement,Tasmania,No,0
2010Q1,Personal insolvency agreement,Northern Territory,No,0
2010Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2010Q1,Personal insolvency agreement,Other,No,0
2010Q2,Debtor's petition,New South Wales,No,1501
2010Q2,Debtor's petition,Victoria,No,881
2010Q2,Debtor's petition,Queensland,No,1068
2010Q2,Debtor's petition,South Australia,No,366
2010Q2,Debtor's petition,Western Australia,No,255
2010Q2,Debtor's petition,Tasmania,No,147
2010Q2,Debtor's petition,Northern Territory,No,14
2010Q2,Debtor's petition,Australian Capital Territory,No,35
2010Q2,Debtor's petition,Other,No,12
2010Q2,Sequestration order,New South Wales,No,99
2010Q2,Sequestration order,Victoria,No,76
2010Q2,Sequestration order,Queensland,No,41
2010Q2,Sequestration order,South Australia,No,17
2010Q2,Sequestration order,Western Australia,No,7
2010Q2,Sequestration order,Tasmania,No,3
2010Q2,Sequestration order,Northern Territory,No,0
2010Q2,Sequestration order,Australian Capital Territory,No,5
2010Q2,Sequestration order,Other,No,3
2010Q2,Total bankruptcies,New South Wales,No,1600
2010Q2,Total bankruptcies,Victoria,No,957
2010Q2,Total bankruptcies,Queensland,No,1109
2010Q2,Total bankruptcies,South Australia,No,383
2010Q2,Total bankruptcies,Western Australia,No,262
2010Q2,Total bankruptcies,Tasmania,No,150
2010Q2,Total bankruptcies,Northern Territory,No,14
2010Q2,Total bankruptcies,Australian Capital Territory,No,40
2010Q2,Total bankruptcies,Other,No,15
2010Q2,Deceased estate,New South Wales,No,0
2010Q2,Deceased estate,Victoria,No,0
2010Q2,Deceased estate,Queensland,No,0
2010Q2,Deceased estate,South Australia,No,0
2010Q2,Deceased estate,Western Australia,No,0
2010Q2,Deceased estate,Tasmania,No,0
2010Q2,Deceased estate,Northern Territory,No,0
2010Q2,Deceased estate,Australian Capital Territory,No,0
2010Q2,Deceased estate,Other,No,2
2010Q2,Debt agreement,New South Wales,No,663
2010Q2,Debt agreement,Victoria,No,466
2010Q2,Debt agreement,Queensland,No,592
2010Q2,Debt agreement,South Australia,No,74
2010Q2,Debt agreement,Western Australia,No,140
2010Q2,Debt agreement,Tasmania,No,63
2010Q2,Debt agreement,Northern Territory,No,27
2010Q2,Debt agreement,Australian Capital Territory,No,23
2010Q2,Debt agreement,Other,No,5
2010Q2,Personal insolvency agreement,New South Wales,No,12
2010Q2,Personal insolvency agreement,Victoria,No,17
2010Q2,Personal insolvency agreement,Queensland,No,9
2010Q2,Personal insolvency agreement,South Australia,No,0
2010Q2,Personal insolvency agreement,Western Australia,No,3
2010Q2,Personal insolvency agreement,Tasmania,No,0
2010Q2,Personal insolvency agreement,Northern Territory,No,0
2010Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2010Q2,Personal insolvency agreement,Other,No,0
2010Q3,Debtor's petition,New South Wales,No,1345
2010Q3,Debtor's petition,Victoria,No,740
2010Q3,Debtor's petition,Queensland,No,944
2010Q3,Debtor's petition,South Australia,No,298
2010Q3,Debtor's petition,Western Australia,No,245
2010Q3,Debtor's petition,Tasmania,No,139
2010Q3,Debtor's petition,Northern Territory,No,12
2010Q3,Debtor's petition,Australian Capital Territory,No,25
2010Q3,Debtor's petition,Other,No,8
2010Q3,Sequestration order,New South Wales,No,116
2010Q3,Sequestration order,Victoria,No,69
2010Q3,Sequestration order,Queensland,No,42
2010Q3,Sequestration order,South Australia,No,12
2010Q3,Sequestration order,Western Australia,No,19
2010Q3,Sequestration order,Tasmania,No,2
2010Q3,Sequestration order,Northern Territory,No,1
2010Q3,Sequestration order,Australian Capital Territory,No,7
2010Q3,Sequestration order,Other,No,11
2010Q3,Total bankruptcies,New South Wales,No,1461
2010Q3,Total bankruptcies,Victoria,No,809
2010Q3,Total bankruptcies,Queensland,No,986
2010Q3,Total bankruptcies,South Australia,No,310
2010Q3,Total bankruptcies,Western Australia,No,264
2010Q3,Total bankruptcies,Tasmania,No,141
2010Q3,Total bankruptcies,Northern Territory,No,13
2010Q3,Total bankruptcies,Australian Capital Territory,No,32
2010Q3,Total bankruptcies,Other,No,19
2010Q3,Deceased estate,New South Wales,No,0
2010Q3,Deceased estate,Victoria,No,0
2010Q3,Deceased estate,Queensland,No,0
2010Q3,Deceased estate,South Australia,No,0
2010Q3,Deceased estate,Western Australia,No,0
2010Q3,Deceased estate,Tasmania,No,0
2010Q3,Deceased estate,Northern Territory,No,0
2010Q3,Deceased estate,Australian Capital Territory,No,0
2010Q3,Deceased estate,Other,No,0
2010Q3,Debt agreement,New South Wales,No,671
2010Q3,Debt agreement,Victoria,No,484
2010Q3,Debt agreement,Queensland,No,578
2010Q3,Debt agreement,South Australia,No,94
2010Q3,Debt agreement,Western Australia,No,168
2010Q3,Debt agreement,Tasmania,No,58
2010Q3,Debt agreement,Northern Territory,No,11
2010Q3,Debt agreement,Australian Capital Territory,No,24
2010Q3,Debt agreement,Other,No,0
2010Q3,Personal insolvency agreement,New South Wales,No,22
2010Q3,Personal insolvency agreement,Victoria,No,13
2010Q3,Personal insolvency agreement,Queensland,No,9
2010Q3,Personal insolvency agreement,South Australia,No,2
2010Q3,Personal insolvency agreement,Western Australia,No,8
2010Q3,Personal insolvency agreement,Tasmania,No,0
2010Q3,Personal insolvency agreement,Northern Territory,No,0
2010Q3,Personal insolvency agreement,Australian Capital Territory,No,1
2010Q3,Personal insolvency agreement,Other,No,0
2010Q4,Debtor's petition,New South Wales,No,1184
2010Q4,Debtor's petition,Victoria,No,645
2010Q4,Debtor's petition,Queensland,No,979
2010Q4,Debtor's petition,South Australia,No,274
2010Q4,Debtor's petition,Western Australia,No,228
2010Q4,Debtor's petition,Tasmania,No,125
2010Q4,Debtor's petition,Northern Territory,No,21
2010Q4,Debtor's petition,Australian Capital Territory,No,22
2010Q4,Debtor's petition,Other,No,13
2010Q4,Sequestration order,New South Wales,No,87
2010Q4,Sequestration order,Victoria,No,56
2010Q4,Sequestration order,Queensland,No,46
2010Q4,Sequestration order,South Australia,No,9
2010Q4,Sequestration order,Western Australia,No,7
2010Q4,Sequestration order,Tasmania,No,3
2010Q4,Sequestration order,Northern Territory,No,0
2010Q4,Sequestration order,Australian Capital Territory,No,2
2010Q4,Sequestration order,Other,No,4
2010Q4,Total bankruptcies,New South Wales,No,1271
2010Q4,Total bankruptcies,Victoria,No,701
2010Q4,Total bankruptcies,Queensland,No,1025
2010Q4,Total bankruptcies,South Australia,No,283
2010Q4,Total bankruptcies,Western Australia,No,235
2010Q4,Total bankruptcies,Tasmania,No,128
2010Q4,Total bankruptcies,Northern Territory,No,21
2010Q4,Total bankruptcies,Australian Capital Territory,No,24
2010Q4,Total bankruptcies,Other,No,17
2010Q4,Deceased estate,New South Wales,No,0
2010Q4,Deceased estate,Victoria,No,0
2010Q4,Deceased estate,Queensland,No,0
2010Q4,Deceased estate,South Australia,No,0
2010Q4,Deceased estate,Western Australia,No,0
2010Q4,Deceased estate,Tasmania,No,0
2010Q4,Deceased estate,Northern Territory,No,0
2010Q4,Deceased estate,Australian Capital Territory,No,0
2010Q4,Deceased estate,Other,No,4
2010Q4,Debt agreement,New South Wales,No,608
2010Q4,Debt agreement,Victoria,No,379
2010Q4,Debt agreement,Queensland,No,546
2010Q4,Debt agreement,South Australia,No,60
2010Q4,Debt agreement,Western Australia,No,108
2010Q4,Debt agreement,Tasmania,No,78
2010Q4,Debt agreement,Northern Territory,No,16
2010Q4,Debt agreement,Australian Capital Territory,No,25
2010Q4,Debt agreement,Other,No,4
2010Q4,Personal insolvency agreement,New South Wales,No,20
2010Q4,Personal insolvency agreement,Victoria,No,13
2010Q4,Personal insolvency agreement,Queensland,No,11
2010Q4,Personal insolvency agreement,South Australia,No,0
2010Q4,Personal insolvency agreement,Western Australia,No,3
2010Q4,Personal insolvency agreement,Tasmania,No,0
2010Q4,Personal insolvency agreement,Northern Territory,No,0
2010Q4,Personal insolvency agreement,Australian Capital Territory,No,0
2010Q4,Personal insolvency agreement,Other,No,0
2011Q1,Debtor's petition,New South Wales,No,1146
2011Q1,Debtor's petition,Victoria,No,621
2011Q1,Debtor's petition,Queensland,No,871
2011Q1,Debtor's petition,South Australia,No,309
2011Q1,Debtor's petition,Western Australia,No,255
2011Q1,Debtor's petition,Tasmania,No,156
2011Q1,Debtor's petition,Northern Territory,No,21
2011Q1,Debtor's petition,Australian Capital Territory,No,18
2011Q1,Debtor's petition,Other,No,6
2011Q1,Sequestration order,New South Wales,No,71
2011Q1,Sequestration order,Victoria,No,51
2011Q1,Sequestration order,Queensland,No,36
2011Q1,Sequestration order,South Australia,No,5
2011Q1,Sequestration order,Western Australia,No,11
2011Q1,Sequestration order,Tasmania,No,2
2011Q1,Sequestration order,Northern Territory,No,3
2011Q1,Sequestration order,Australian Capital Territory,No,0
2011Q1,Sequestration order,Other,No,8
2011Q1,Total bankruptcies,New South Wales,No,1217
2011Q1,Total bankruptcies,Victoria,No,672
2011Q1,Total bankruptcies,Queensland,No,907
2011Q1,Total bankruptcies,South Australia,No,314
2011Q1,Total bankruptcies,Western Australia,No,266
2011Q1,Total bankruptcies,Tasmania,No,158
2011Q1,Total bankruptcies,Northern Territory,No,24
2011Q1,Total bankruptcies,Australian Capital Territory,No,18
2011Q1,Total bankruptcies,Other,No,14
2011Q1,Deceased estate,New South Wales,No,0
2011Q1,Deceased estate,Victoria,No,0
2011Q1,Deceased estate,Queensland,No,0
2011Q1,Deceased estate,South Australia,No,0
2011Q1,Deceased estate,Western Australia,No,0
2011Q1,Deceased estate,Tasmania,No,0
2011Q1,Deceased estate,Northern Territory,No,0
2011Q1,Deceased estate,Australian Capital Territory,No,0
2011Q1,Deceased estate,Other,No,1
2011Q1,Debt agreement,New South Wales,No,560
2011Q1,Debt agreement,Victoria,No,363
2011Q1,Debt agreement,Queensland,No,483
2011Q1,Debt agreement,South Australia,No,74
2011Q1,Debt agreement,Western Australia,No,137
2011Q1,Debt agreement,Tasmania,No,80
2011Q1,Debt agreement,Northern Territory,No,10
2011Q1,Debt agreement,Australian Capital Territory,No,26
2011Q1,Debt agreement,Other,No,3
2011Q1,Personal insolvency agreement,New South Wales,No,16
2011Q1,Personal insolvency agreement,Victoria,No,9
2011Q1,Personal insolvency agreement,Queensland,No,11
2011Q1,Personal insolvency agreement,South Australia,No,1
2011Q1,Personal insolvency agreement,Western Australia,No,3
2011Q1,Personal insolvency agreement,Tasmania,No,1
2011Q1,Personal insolvency agreement,Northern Territory,No,0
2011Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2011Q1,Personal insolvency agreement,Other,No,0
2011Q2,Debtor's petition,New South Wales,No,1128
2011Q2,Debtor's petition,Victoria,No,643
2011Q2,Debtor's petition,Queensland,No,877
2011Q2,Debtor's petition,South Australia,No,252
2011Q2,Debtor's petition,Western Australia,No,251
2011Q2,Debtor's petition,Tasmania,No,133
2011Q2,Debtor's petition,Northern Territory,No,14
2011Q2,Debtor's petition,Australian Capital Territory,No,27
2011Q2,Debtor's petition,Other,No,8
2011Q2,Sequestration order,New South Wales,No,84
2011Q2,Sequestration order,Victoria,No,68
2011Q2,Sequestration order,Queensland,No,33
2011Q2,Sequestration order,South Australia,No,11
2011Q2,Sequestration order,Western Australia,No,11
2011Q2,Sequestration order,Tasmania,No,2
2011Q2,Sequestration order,Northern Territory,No,0
2011Q2,Sequestration order,Australian Capital Territory,No,2
2011Q2,Sequestration order,Other,No,1
2011Q2,Total bankruptcies,New South Wales,No,1212
2011Q2,Total bankruptcies,Victoria,No,711
2011Q2,Total bankruptcies,Queensland,No,910
2011Q2,Total bankruptcies,South Australia,No,263
2011Q2,Total bankruptcies,Western Australia,No,262
2011Q2,Total bankruptcies,Tasmania,No,135
2011Q2,Total bankruptcies,Northern Territory,No,14
2011Q2,Total bankruptcies,Australian Capital Territory,No,29
2011Q2,Total bankruptcies,Other,No,9
2011Q2,Deceased estate,New South Wales,No,0
2011Q2,Deceased estate,Victoria,No,0
2011Q2,Deceased estate,Queensland,No,0
2011Q2,Deceased estate,South Australia,No,0
2011Q2,Deceased estate,Western Australia,No,0
2011Q2,Deceased estate,Tasmania,No,0
2011Q2,Deceased estate,Northern Territory,No,0
2011Q2,Deceased estate,Australian Capital Territory,No,0
2011Q2,Deceased estate,Other,No,6
2011Q2,Debt agreement,New South Wales,No,631
2011Q2,Debt agreement,Victoria,No,403
2011Q2,Debt agreement,Queensland,No,479
2011Q2,Debt agreement,South Australia,No,89
2011Q2,Debt agreement,Western Australia,No,159
2011Q2,Debt agreement,Tasmania,No,73
2011Q2,Debt agreement,Northern Territory,No,14
2011Q2,Debt agreement,Australian Capital Territory,No,19
2011Q2,Debt agreement,Other,No,3
2011Q2,Personal insolvency agreement,New South Wales,No,16
2011Q2,Personal insolvency agreement,Victoria,No,10
2011Q2,Personal insolvency agreement,Queensland,No,4
2011Q2,Personal insolvency agreement,South Australia,No,3
2011Q2,Personal insolvency agreement,Western Australia,No,9
2011Q2,Personal insolvency agreement,Tasmania,No,5
2011Q2,Personal insolvency agreement,Northern Territory,No,0
2011Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2011Q2,Personal insolvency agreement,Other,No,0
2011Q3,Debtor's petition,New South Wales,No,1175
2011Q3,Debtor's petition,Victoria,No,621
2011Q3,Debtor's petition,Queensland,No,871
2011Q3,Debtor's petition,South Australia,No,276
2011Q3,Debtor's petition,Western Australia,No,231
2011Q3,Debtor's petition,Tasmania,No,124
2011Q3,Debtor's petition,Northern Territory,No,6
2011Q3,Debtor's petition,Australian Capital Territory,No,16
2011Q3,Debtor's petition,Other,No,9
2011Q3,Sequestration order,New South Wales,No,84
2011Q3,Sequestration order,Victoria,No,60
2011Q3,Sequestration order,Queensland,No,47
2011Q3,Sequestration order,South Australia,No,17
2011Q3,Sequestration order,Western Australia,No,23
2011Q3,Sequestration order,Tasmania,No,3
2011Q3,Sequestration order,Northern Territory,No,0
2011Q3,Sequestration order,Australian Capital Territory,No,4
2011Q3,Sequestration order,Other,No,7
2011Q3,Total bankruptcies,New South Wales,No,1259
2011Q3,Total bankruptcies,Victoria,No,681
2011Q3,Total bankruptcies,Queensland,No,918
2011Q3,Total bankruptcies,South Australia,No,293
2011Q3,Total bankruptcies,Western Australia,No,254
2011Q3,Total bankruptcies,Tasmania,No,127
2011Q3,Total bankruptcies,Northern Territory,No,6
2011Q3,Total bankruptcies,Australian Capital Territory,No,20
2011Q3,Total bankruptcies,Other,No,16
2011Q3,Deceased estate,New South Wales,No,0
2011Q3,Deceased estate,Victoria,No,0
2011Q3,Deceased estate,Queensland,No,0
2011Q3,Deceased estate,South Australia,No,0
2011Q3,Deceased estate,Western Australia,No,0
2011Q3,Deceased estate,Tasmania,No,0
2011Q3,Deceased estate,Northern Territory,No,0
2011Q3,Deceased estate,Australian Capital Territory,No,0
2011Q3,Deceased estate,Other,No,0
2011Q3,Debt agreement,New South Wales,No,718
2011Q3,Debt agreement,Victoria,No,418
2011Q3,Debt agreement,Queensland,No,568
2011Q3,Debt agreement,South Australia,No,96
2011Q3,Debt agreement,Western Australia,No,188
2011Q3,Debt agreement,Tasmania,No,71
2011Q3,Debt agreement,Northern Territory,No,12
2011Q3,Debt agreement,Australian Capital Territory,No,26
2011Q3,Debt agreement,Other,No,2
2011Q3,Personal insolvency agreement,New South Wales,No,16
2011Q3,Personal insolvency agreement,Victoria,No,15
2011Q3,Personal insolvency agreement,Queensland,No,8
2011Q3,Personal insolvency agreement,South Australia,No,1
2011Q3,Personal insolvency agreement,Western Australia,No,9
2011Q3,Personal insolvency agreement,Tasmania,No,2
2011Q3,Personal insolvency agreement,Northern Territory,No,0
2011Q3,Personal insolvency agreement,Australian Capital Territory,No,0
2011Q3,Personal insolvency agreement,Other,No,0
2011Q4,Debtor's petition,New South Wales,No,1112
