Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2008Q2,Personal insolvency agreement,Northern Territory,Yes,0
2008Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2008Q2,Personal insolvency agreement,Other,Yes,0
2008Q3,Debtor's petition,New South Wales,Yes,785
2008Q3,Debtor's petition,Victoria,Yes,388
2008Q3,Debtor's petition,Queensland,Yes,423
2008Q3,Debtor's petition,South Australia,Yes,110
2008Q3,Debtor's petition,Western Australia,Yes,109
2008Q3,Debtor's petition,Tasmania,Yes,52
2008Q3,Debtor's petition,Northern Territory,Yes,8
2008Q3,Debtor's petition,Australian Capital Territory,Yes,20
2008Q3,Debtor's petition,Other,Yes,21
2008Q3,Sequestration order,New South Wales,Yes,172
2008Q3,Sequestration order,Victoria,Yes,126
2008Q3,Sequestration order,Queensland,Yes,75
2008Q3,Sequestration order,South Australia,Yes,15
2008Q3,Sequestration order,Western Australia,Yes,15
2008Q3,Sequestration order,Tasmania,Yes,2
2008Q3,Sequestration order,Northern Territory,Yes,1
2008Q3,Sequestration order,Australian Capital Territory,Yes,3
2008Q3,Sequestration order,Other,Yes,2
2008Q3,Total bankruptcies,New South Wales,Yes,957
2008Q3,Total bankruptcies,Victoria,Yes,514
2008Q3,Total bankruptcies,Queensland,Yes,498
2008Q3,Total bankruptcies,South Australia,Yes,125
2008Q3,Total bankruptcies,Western Australia,Yes,124
2008Q3,Total bankruptcies,Tasmania,Yes,54
2008Q3,Total bankruptcies,Northern Territory,Yes,9
2008Q3,Total bankruptcies,Australian Capital Territory,Yes,23
2008Q3,Total bankruptcies,Other,Yes,23
2008Q3,Deceased estate,New South Wales,Yes,0
2008Q3,Deceased estate,Victoria,Yes,0
2008Q3,Deceased estate,Queensland,Yes,0
2008Q3,Deceased estate,South Australia,Yes,0
2008Q3,Deceased estate,Western Australia,Yes,0
2008Q3,Deceased estate,Tasmania,Yes,0
2008Q3,Deceased estate,Northern Territory,Yes,0
2008Q3,Deceased estate,Australian Capital Territory,Yes,0
2008Q3,Deceased estate,Other,Yes,2
2008Q3,Debt agreement,New South Wales,Yes,30
2008Q3,Debt agreement,Victoria,Yes,30
2008Q3,Debt agreement,Queensland,Yes,17
2008Q3,Debt agreement,South Australia,Yes,2
