Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Sep-17,Debtor's petition,Northern Territory,Total,36,,
Sep-17,Debtor's petition,Australian Capital Territory,Total,43,,
Sep-17,Debtor's petition,Other,Total,23,,
Sep-17,Debtor's petition,Total,Total,3920,,
Sep-17,Sequestration order,New South Wales,Yes,57,,
Sep-17,Sequestration order,Victoria,Yes,55,,
Sep-17,Sequestration order,Queensland,Yes,85,,
Sep-17,Sequestration order,South Australia,Yes,19,,
Sep-17,Sequestration order,Western Australia,Yes,41,,
Sep-17,Sequestration order,Tasmania,Yes,1,,
Sep-17,Sequestration order,Northern Territory,Yes,3,,
Sep-17,Sequestration order,Australian Capital Territory,Yes,3,,
Sep-17,Sequestration order,Other,Yes,1,,
Sep-17,Sequestration order,Total,Yes,265,,
Sep-17,Sequestration order,New South Wales,No,43,,
Sep-17,Sequestration order,Victoria,No,37,,
Sep-17,Sequestration order,Queensland,No,35,,
Sep-17,Sequestration order,South Australia,No,13,,
Sep-17,Sequestration order,Western Australia,No,18,,
Sep-17,Sequestration order,Tasmania,No,3,,
Sep-17,Sequestration order,Northern Territory,No,4,,
Sep-17,Sequestration order,Australian Capital Territory,No,1,,
Sep-17,Sequestration order,Other,No,1,,
Sep-17,Sequestration order,Total,No,155,,
Sep-17,Sequestration order,New South Wales,Total,100,,
Sep-17,Sequestration order,Victoria,Total,92,,
Sep-17,Sequestration order,Queensland,Total,120,,
Sep-17,Sequestration order,South Australia,Total,32,,
Sep-17,Sequestration order,Western Australia,Total,59,,
Sep-17,Sequestration order,Tasmania,Total,4,,
Sep-17,Sequestration order,Northern Territory,Total,7,,
Sep-17,Sequestration order,Australian Capital Territory,Total,4,,
Sep-17,Sequestration order,Other,Total,2,,
Sep-17,Sequestration order,Total,Total,420,,
Sep-17,Total bankruptcies,New South Wales,Yes,379,,
Sep-17,Total bankruptcies,Victoria,Yes,337,,
Sep-17,Total bankruptcies,Queensland,Yes,528,,
Sep-17,Total bankruptcies,South Australia,Yes,90,,
Sep-17,Total bankruptcies,Western Australia,Yes,220,,
Sep-17,Total bankruptcies,Tasmania,Yes,30,,
Sep-17,Total bankruptcies,Northern Territory,Yes,15,,
Sep-17,Total bankruptcies,Australian Capital Territory,Yes,12,,
Sep-17,Total bankruptcies,Other,Yes,8,,
Sep-17,Total bankruptcies,Total,Yes,1619,,
Sep-17,Total bankruptcies,New South Wales,No,728,,
Sep-17,Total bankruptcies,Victoria,No,519,,
Sep-17,Total bankruptcies,Queensland,No,799,,
Sep-17,Total bankruptcies,South Australia,No,218,,
Sep-17,Total bankruptcies,Western Australia,No,281,,
Sep-17,Total bankruptcies,Tasmania,No,96,,
Sep-17,Total bankruptcies,Northern Territory,No,28,,
Sep-17,Total bankruptcies,Australian Capital Territory,No,35,,
Sep-17,Total bankruptcies,Other,No,17,,
Sep-17,Total bankruptcies,Total,No,2721,,
Sep-17,Total bankruptcies,New South Wales,Total,1107,,
Sep-17,Total bankruptcies,Victoria,Total,856,,
Sep-17,Total bankruptcies,Queensland,Total,1327,,
Sep-17,Total bankruptcies,South Australia,Total,308,,
Sep-17,Total bankruptcies,Western Australia,Total,501,,
Sep-17,Total bankruptcies,Tasmania,Total,126,,
Sep-17,Total bankruptcies,Northern Territory,Total,43,,
Sep-17,Total bankruptcies,Australian Capital Territory,Total,47,,
Sep-17,Total bankruptcies,Other,Total,25,,
Sep-17,Total bankruptcies,Total,Total,4340,,
Sep-17,Deceased estate,New South Wales,Yes,0,,
Sep-17,Deceased estate,Victoria,Yes,0,,
Sep-17,Deceased estate,Queensland,Yes,0,,
Sep-17,Deceased estate,South Australia,Yes,0,,
Sep-17,Deceased estate,Western Australia,Yes,0,,
Sep-17,Deceased estate,Tasmania,Yes,0,,
Sep-17,Deceased estate,Northern Territory,Yes,0,,
Sep-17,Deceased estate,Australian Capital Territory,Yes,0,,
Sep-17,Deceased estate,Other,Yes,2,,
Sep-17,Deceased estate,Total,Yes,2,,
Sep-17,Deceased estate,New South Wales,No,0,,
Sep-17,Deceased estate,Victoria,No,0,,
Sep-17,Deceased estate,Queensland,No,0,,
Sep-17,Deceased estate,South Australia,No,0,,
Sep-17,Deceased estate,Western Australia,No,0,,
Sep-17,Deceased estate,Tasmania,No,0,,
Sep-17,Deceased estate,Northern Territory,No,0,,
Sep-17,Deceased estate,Australian Capital Territory,No,0,,
Sep-17,Deceased estate,Other,No,3,,
Sep-17,Deceased estate,Total,No,3,,
Sep-17,Deceased estate,New South Wales,Total,0,,
Sep-17,Deceased estate,Victoria,Total,0,,
Sep-17,Deceased estate,Queensland,Total,0,,
Sep-17,Deceased estate,South Australia,Total,0,,
Sep-17,Deceased estate,Western Australia,Total,0,,
Sep-17,Deceased estate,Tasmania,Total,0,,
Sep-17,Deceased estate,Northern Territory,Total,0,,
Sep-17,Deceased estate,Australian Capital Territory,Total,0,,
Sep-17,Deceased estate,Other,Total,5,,
Sep-17,Deceased estate,Total,Total,5,,
Sep-17,Debt agreement,New South Wales,Yes,62,,
Sep-17,Debt agreement,Victoria,Yes,43,,
Sep-17,Debt agreement,Queensland,Yes,68,,
Sep-17,Debt agreement,South Australia,Yes,8,,
Sep-17,Debt agreement,Western Australia,Yes,46,,
Sep-17,Debt agreement,Tasmania,Yes,9,,
Sep-17,Debt agreement,Northern Territory,Yes,6,,
Sep-17,Debt agreement,Australian Capital Territory,Yes,2,,
Sep-17,Debt agreement,Other,Yes,0,,
Sep-17,Debt agreement,Total,Yes,244,,
Sep-17,Debt agreement,New South Wales,No,1028,,
Sep-17,Debt agreement,Victoria,No,660,,
Sep-17,Debt agreement,Queensland,No,1088,,
Sep-17,Debt agreement,South Australia,No,203,,
Sep-17,Debt agreement,Western Australia,No,486,,
Sep-17,Debt agreement,Tasmania,No,86,,
Sep-17,Debt agreement,Northern Territory,No,43,,
Sep-17,Debt agreement,Australian Capital Territory,No,40,,
Sep-17,Debt agreement,Other,No,7,,
Sep-17,Debt agreement,Total,No,3641,,
Sep-17,Debt agreement,New South Wales,Total,1090,,
Sep-17,Debt agreement,Victoria,Total,703,,
Sep-17,Debt agreement,Queensland,Total,1156,,
Sep-17,Debt agreement,South Australia,Total,211,,
Sep-17,Debt agreement,Western Australia,Total,532,,
Sep-17,Debt agreement,Tasmania,Total,95,,
Sep-17,Debt agreement,Northern Territory,Total,49,,
Sep-17,Debt agreement,Australian Capital Territory,Total,42,,
Sep-17,Debt agreement,Other,Total,7,,
Sep-17,Debt agreement,Total,Total,3885,,
Sep-17,Personal insolvency agreement,New South Wales,Yes,8,,
Sep-17,Personal insolvency agreement,Victoria,Yes,6,,
Sep-17,Personal insolvency agreement,Queensland,Yes,8,,
Sep-17,Personal insolvency agreement,South Australia,Yes,2,,
Sep-17,Personal insolvency agreement,Western Australia,Yes,9,,
Sep-17,Personal insolvency agreement,Tasmania,Yes,0,,
Sep-17,Personal insolvency agreement,Northern Territory,Yes,0,,
Sep-17,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Sep-17,Personal insolvency agreement,Other,Yes,0,,
Sep-17,Personal insolvency agreement,Total,Yes,33,,
Sep-17,Personal insolvency agreement,New South Wales,No,8,,
Sep-17,Personal insolvency agreement,Victoria,No,5,,
Sep-17,Personal insolvency agreement,Queensland,No,13,,
Sep-17,Personal insolvency agreement,South Australia,No,5,,
Sep-17,Personal insolvency agreement,Western Australia,No,10,,
Sep-17,Personal insolvency agreement,Tasmania,No,2,,
Sep-17,Personal insolvency agreement,Northern Territory,No,2,,
Sep-17,Personal insolvency agreement,Australian Capital Territory,No,3,,
Sep-17,Personal insolvency agreement,Other,No,1,,
Sep-17,Personal insolvency agreement,Total,No,49,,
Sep-17,Personal insolvency agreement,New South Wales,Total,16,,
Sep-17,Personal insolvency agreement,Victoria,Total,11,,
Sep-17,Personal insolvency agreement,Queensland,Total,21,,
Sep-17,Personal insolvency agreement,South Australia,Total,7,,
Sep-17,Personal insolvency agreement,Western Australia,Total,19,,
Sep-17,Personal insolvency agreement,Tasmania,Total,2,,
Sep-17,Personal insolvency agreement,Northern Territory,Total,2,,
Sep-17,Personal insolvency agreement,Australian Capital Territory,Total,3,,
Sep-17,Personal insolvency agreement,Other,Total,1,,
Sep-17,Personal insolvency agreement,Total,Total,82,,
Sep-17,Total personal insolvencies,New South Wales,Yes,449,,
Sep-17,Total personal insolvencies,Victoria,Yes,386,,
Sep-17,Total personal insolvencies,Queensland,Yes,604,,
Sep-17,Total personal insolvencies,South Australia,Yes,100,,
Sep-17,Total personal insolvencies,Western Australia,Yes,275,,
Sep-17,Total personal insolvencies,Tasmania,Yes,39,,
Sep-17,Total personal insolvencies,Northern Territory,Yes,21,,
Sep-17,Total personal insolvencies,Australian Capital Territory,Yes,14,,
Sep-17,Total personal insolvencies,Other,Yes,10,,
Sep-17,Total personal insolvencies,Total,Yes,1898,,
Sep-17,Total personal insolvencies,New South Wales,No,1764,,
Sep-17,Total personal insolvencies,Victoria,No,1184,,
Sep-17,Total personal insolvencies,Queensland,No,1900,,
Sep-17,Total personal insolvencies,South Australia,No,426,,
Sep-17,Total personal insolvencies,Western Australia,No,777,,
Sep-17,Total personal insolvencies,Tasmania,No,184,,
Sep-17,Total personal insolvencies,Northern Territory,No,73,,
Sep-17,Total personal insolvencies,Australian Capital Territory,No,78,,
Sep-17,Total personal insolvencies,Other,No,28,,
Sep-17,Total personal insolvencies,Total,No,6414,,
Sep-17,Total personal insolvencies,New South Wales,Total,2213,,
Sep-17,Total personal insolvencies,Victoria,Total,1570,,
Sep-17,Total personal insolvencies,Queensland,Total,2504,,
Sep-17,Total personal insolvencies,South Australia,Total,526,,
Sep-17,Total personal insolvencies,Western Australia,Total,1052,,
Sep-17,Total personal insolvencies,Tasmania,Total,223,,
Sep-17,Total personal insolvencies,Northern Territory,Total,94,,
Sep-17,Total personal insolvencies,Australian Capital Territory,Total,92,,
Sep-17,Total personal insolvencies,Other,Total,38,,
Sep-17,Total personal insolvencies,Total,Total,8312,,
Dec-17,Debtor's petition,New South Wales,Yes,312,,
Dec-17,Debtor's petition,Victoria,Yes,256,,
Dec-17,Debtor's petition,Queensland,Yes,436,,
Dec-17,Debtor's petition,South Australia,Yes,86,,
Dec-17,Debtor's petition,Western Australia,Yes,178,,
Dec-17,Debtor's petition,Tasmania,Yes,20,,
Dec-17,Debtor's petition,Northern Territory,Yes,10,,
Dec-17,Debtor's petition,Australian Capital Territory,Yes,15,,
Dec-17,Debtor's petition,Other,Yes,9,,
Dec-17,Debtor's petition,Total,Yes,1322,,
Dec-17,Debtor's petition,New South Wales,No,716,,
Dec-17,Debtor's petition,Victoria,No,437,,
Dec-17,Debtor's petition,Queensland,No,658,,
Dec-17,Debtor's petition,South Australia,No,173,,
Dec-17,Debtor's petition,Western Australia,No,270,,
Dec-17,Debtor's petition,Tasmania,No,89,,
Dec-17,Debtor's petition,Northern Territory,No,15,,
Dec-17,Debtor's petition,Australian Capital Territory,No,33,,
Dec-17,Debtor's petition,Other,No,15,,
Dec-17,Debtor's petition,Total,No,2406,,
Dec-17,Debtor's petition,New South Wales,Total,1028,,
Dec-17,Debtor's petition,Victoria,Total,693,,
Dec-17,Debtor's petition,Queensland,Total,1094,,
Dec-17,Debtor's petition,South Australia,Total,259,,
Dec-17,Debtor's petition,Western Australia,Total,448,,
Dec-17,Debtor's petition,Tasmania,Total,109,,
Dec-17,Debtor's petition,Northern Territory,Total,25,,
Dec-17,Debtor's petition,Australian Capital Territory,Total,48,,
Dec-17,Debtor's petition,Other,Total,24,,
Dec-17,Debtor's petition,Total,Total,3728,,
Dec-17,Sequestration order,New South Wales,Yes,64,,
Dec-17,Sequestration order,Victoria,Yes,54,,
Dec-17,Sequestration order,Queensland,Yes,67,,
Dec-17,Sequestration order,South Australia,Yes,13,,
Dec-17,Sequestration order,Western Australia,Yes,28,,
Dec-17,Sequestration order,Tasmania,Yes,6,,
Dec-17,Sequestration order,Northern Territory,Yes,1,,
Dec-17,Sequestration order,Australian Capital Territory,Yes,3,,
Dec-17,Sequestration order,Other,Yes,0,,
Dec-17,Sequestration order,Total,Yes,236,,
Dec-17,Sequestration order,New South Wales,No,43,,
Dec-17,Sequestration order,Victoria,No,44,,
Dec-17,Sequestration order,Queensland,No,25,,
Dec-17,Sequestration order,South Australia,No,6,,
Dec-17,Sequestration order,Western Australia,No,12,,
Dec-17,Sequestration order,Tasmania,No,5,,
Dec-17,Sequestration order,Northern Territory,No,4,,
Dec-17,Sequestration order,Australian Capital Territory,No,4,,
Dec-17,Sequestration order,Other,No,2,,
Dec-17,Sequestration order,Total,No,145,,
Dec-17,Sequestration order,New South Wales,Total,107,,
Dec-17,Sequestration order,Victoria,Total,98,,
Dec-17,Sequestration order,Queensland,Total,92,,
Dec-17,Sequestration order,South Australia,Total,19,,
Dec-17,Sequestration order,Western Australia,Total,40,,
Dec-17,Sequestration order,Tasmania,Total,11,,
Dec-17,Sequestration order,Northern Territory,Total,5,,
Dec-17,Sequestration order,Australian Capital Territory,Total,7,,
Dec-17,Sequestration order,Other,Total,2,,
Dec-17,Sequestration order,Total,Total,381,,
Dec-17,Total bankruptcies,New South Wales,Yes,376,,
Dec-17,Total bankruptcies,Victoria,Yes,310,,
Dec-17,Total bankruptcies,Queensland,Yes,503,,
Dec-17,Total bankruptcies,South Australia,Yes,99,,
Dec-17,Total bankruptcies,Western Australia,Yes,206,,
Dec-17,Total bankruptcies,Tasmania,Yes,26,,
Dec-17,Total bankruptcies,Northern Territory,Yes,11,,
Dec-17,Total bankruptcies,Australian Capital Territory,Yes,18,,
Dec-17,Total bankruptcies,Other,Yes,9,,
Dec-17,Total bankruptcies,Total,Yes,1558,,
Dec-17,Total bankruptcies,New South Wales,No,759,,
Dec-17,Total bankruptcies,Victoria,No,481,,
Dec-17,Total bankruptcies,Queensland,No,683,,
Dec-17,Total bankruptcies,South Australia,No,179,,
Dec-17,Total bankruptcies,Western Australia,No,282,,
Dec-17,Total bankruptcies,Tasmania,No,94,,
Dec-17,Total bankruptcies,Northern Territory,No,19,,
Dec-17,Total bankruptcies,Australian Capital Territory,No,37,,
Dec-17,Total bankruptcies,Other,No,17,,
Dec-17,Total bankruptcies,Total,No,2551,,
Dec-17,Total bankruptcies,New South Wales,Total,1135,,
Dec-17,Total bankruptcies,Victoria,Total,791,,
Dec-17,Total bankruptcies,Queensland,Total,1186,,
Dec-17,Total bankruptcies,South Australia,Total,278,,
Dec-17,Total bankruptcies,Western Australia,Total,488,,
Dec-17,Total bankruptcies,Tasmania,Total,120,,
Dec-17,Total bankruptcies,Northern Territory,Total,30,,
Dec-17,Total bankruptcies,Australian Capital Territory,Total,55,,
Dec-17,Total bankruptcies,Other,Total,26,,
Dec-17,Total bankruptcies,Total,Total,4109,,
Dec-17,Deceased estate,New South Wales,Yes,0,,
Dec-17,Deceased estate,Victoria,Yes,0,,
Dec-17,Deceased estate,Queensland,Yes,0,,
Dec-17,Deceased estate,South Australia,Yes,0,,
Dec-17,Deceased estate,Western Australia,Yes,0,,
Dec-17,Deceased estate,Tasmania,Yes,0,,
Dec-17,Deceased estate,Northern Territory,Yes,0,,
Dec-17,Deceased estate,Australian Capital Territory,Yes,0,,
Dec-17,Deceased estate,Other,Yes,6,,
Dec-17,Deceased estate,Total,Yes,6,,
Dec-17,Deceased estate,New South Wales,No,0,,
Dec-17,Deceased estate,Victoria,No,0,,
Dec-17,Deceased estate,Queensland,No,0,,
Dec-17,Deceased estate,South Australia,No,0,,
Dec-17,Deceased estate,Western Australia,No,0,,
Dec-17,Deceased estate,Tasmania,No,0,,
Dec-17,Deceased estate,Northern Territory,No,0,,
Dec-17,Deceased estate,Australian Capital Territory,No,0,,
Dec-17,Deceased estate,Other,No,5,,
Dec-17,Deceased estate,Total,No,5,,
Dec-17,Deceased estate,New South Wales,Total,0,,
Dec-17,Deceased estate,Victoria,Total,0,,
Dec-17,Deceased estate,Queensland,Total,0,,
Dec-17,Deceased estate,South Australia,Total,0,,
Dec-17,Deceased estate,Western Australia,Total,0,,
Dec-17,Deceased estate,Tasmania,Total,0,,
Dec-17,Deceased estate,Northern Territory,Total,0,,
Dec-17,Deceased estate,Australian Capital Territory,Total,0,,
Dec-17,Deceased estate,Other,Total,11,,
Dec-17,Deceased estate,Total,Total,11,,
Dec-17,Debt agreement,New South Wales,Yes,60,,
Dec-17,Debt agreement,Victoria,Yes,55,,
Dec-17,Debt agreement,Queensland,Yes,66,,
Dec-17,Debt agreement,South Australia,Yes,10,,
Dec-17,Debt agreement,Western Australia,Yes,34,,
Dec-17,Debt agreement,Tasmania,Yes,3,,
Dec-17,Debt agreement,Northern Territory,Yes,4,,
Dec-17,Debt agreement,Australian Capital Territory,Yes,2,,
Dec-17,Debt agreement,Other,Yes,0,,
Dec-17,Debt agreement,Total,Yes,234,,
Dec-17,Debt agreement,New South Wales,No,1024,,
Dec-17,Debt agreement,Victoria,No,570,,
Dec-17,Debt agreement,Queensland,No,893,,
Dec-17,Debt agreement,South Australia,No,157,,
Dec-17,Debt agreement,Western Australia,No,439,,
Dec-17,Debt agreement,Tasmania,No,75,,
Dec-17,Debt agreement,Northern Territory,No,47,,
Dec-17,Debt agreement,Australian Capital Territory,No,56,,
Dec-17,Debt agreement,Other,No,6,,
Dec-17,Debt agreement,Total,No,3267,,
Dec-17,Debt agreement,New South Wales,Total,1084,,
Dec-17,Debt agreement,Victoria,Total,625,,
Dec-17,Debt agreement,Queensland,Total,959,,
Dec-17,Debt agreement,South Australia,Total,167,,
Dec-17,Debt agreement,Western Australia,Total,473,,
Dec-17,Debt agreement,Tasmania,Total,78,,
Dec-17,Debt agreement,Northern Territory,Total,51,,
Dec-17,Debt agreement,Australian Capital Territory,Total,58,,
Dec-17,Debt agreement,Other,Total,6,,
Dec-17,Debt agreement,Total,Total,3501,,
Dec-17,Personal insolvency agreement,New South Wales,Yes,5,,
Dec-17,Personal insolvency agreement,Victoria,Yes,6,,
Dec-17,Personal insolvency agreement,Queensland,Yes,5,,
Dec-17,Personal insolvency agreement,South Australia,Yes,3,,
Dec-17,Personal insolvency agreement,Western Australia,Yes,6,,
Dec-17,Personal insolvency agreement,Tasmania,Yes,0,,
Dec-17,Personal insolvency agreement,Northern Territory,Yes,1,,
Dec-17,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Dec-17,Personal insolvency agreement,Other,Yes,0,,
Dec-17,Personal insolvency agreement,Total,Yes,26,,
Dec-17,Personal insolvency agreement,New South Wales,No,4,,
Dec-17,Personal insolvency agreement,Victoria,No,3,,
Dec-17,Personal insolvency agreement,Queensland,No,9,,
Dec-17,Personal insolvency agreement,South Australia,No,6,,
Dec-17,Personal insolvency agreement,Western Australia,No,5,,
Dec-17,Personal insolvency agreement,Tasmania,No,1,,
Dec-17,Personal insolvency agreement,Northern Territory,No,0,,
Dec-17,Personal insolvency agreement,Australian Capital Territory,No,0,,
Dec-17,Personal insolvency agreement,Other,No,0,,
Dec-17,Personal insolvency agreement,Total,No,28,,
Dec-17,Personal insolvency agreement,New South Wales,Total,9,,
Dec-17,Personal insolvency agreement,Victoria,Total,9,,
Dec-17,Personal insolvency agreement,Queensland,Total,14,,
Dec-17,Personal insolvency agreement,South Australia,Total,9,,
Dec-17,Personal insolvency agreement,Western Australia,Total,11,,
Dec-17,Personal insolvency agreement,Tasmania,Total,1,,
Dec-17,Personal insolvency agreement,Northern Territory,Total,1,,
Dec-17,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Dec-17,Personal insolvency agreement,Other,Total,0,,
Dec-17,Personal insolvency agreement,Total,Total,54,,
Dec-17,Total personal insolvencies,New South Wales,Yes,441,,
Dec-17,Total personal insolvencies,Victoria,Yes,371,,
Dec-17,Total personal insolvencies,Queensland,Yes,574,,
Dec-17,Total personal insolvencies,South Australia,Yes,112,,
Dec-17,Total personal insolvencies,Western Australia,Yes,246,,
Dec-17,Total personal insolvencies,Tasmania,Yes,29,,
Dec-17,Total personal insolvencies,Northern Territory,Yes,16,,
Dec-17,Total personal insolvencies,Australian Capital Territory,Yes,20,,
Dec-17,Total personal insolvencies,Other,Yes,15,,
Dec-17,Total personal insolvencies,Total,Yes,1824,,
Dec-17,Total personal insolvencies,New South Wales,No,1787,,
Dec-17,Total personal insolvencies,Victoria,No,1054,,
Dec-17,Total personal insolvencies,Queensland,No,1585,,
Dec-17,Total personal insolvencies,South Australia,No,342,,
Dec-17,Total personal insolvencies,Western Australia,No,726,,
Dec-17,Total personal insolvencies,Tasmania,No,170,,
Dec-17,Total personal insolvencies,Northern Territory,No,66,,
Dec-17,Total personal insolvencies,Australian Capital Territory,No,93,,
Dec-17,Total personal insolvencies,Other,No,28,,
Dec-17,Total personal insolvencies,Total,No,5851,,
Dec-17,Total personal insolvencies,New South Wales,Total,2228,,
Dec-17,Total personal insolvencies,Victoria,Total,1425,,
Dec-17,Total personal insolvencies,Queensland,Total,2159,,
Dec-17,Total personal insolvencies,South Australia,Total,454,,
Dec-17,Total personal insolvencies,Western Australia,Total,972,,
Dec-17,Total personal insolvencies,Tasmania,Total,199,,
Dec-17,Total personal insolvencies,Northern Territory,Total,82,,
Dec-17,Total personal insolvencies,Australian Capital Territory,Total,113,,
Dec-17,Total personal insolvencies,Other,Total,43,,
Dec-17,Total personal insolvencies,Total,Total,7675,,
Mar-18,Debtor's petition,New South Wales,Yes,323,,
Mar-18,Debtor's petition,Victoria,Yes,224,,
Mar-18,Debtor's petition,Queensland,Yes,388,,
Mar-18,Debtor's petition,South Australia,Yes,79,,
Mar-18,Debtor's petition,Western Australia,Yes,193,,
Mar-18,Debtor's petition,Tasmania,Yes,21,,
Mar-18,Debtor's petition,Northern Territory,Yes,15,,
Mar-18,Debtor's petition,Australian Capital Territory,Yes,13,,
Mar-18,Debtor's petition,Other,Yes,11,,
Mar-18,Debtor's petition,Total,Yes,1267,,
Mar-18,Debtor's petition,New South Wales,No,739,,
Mar-18,Debtor's petition,Victoria,No,417,,
Mar-18,Debtor's petition,Queensland,No,812,,
Mar-18,Debtor's petition,South Australia,No,178,,
Mar-18,Debtor's petition,Western Australia,No,334,,
Mar-18,Debtor's petition,Tasmania,No,99,,
Mar-18,Debtor's petition,Northern Territory,No,21,,
Mar-18,Debtor's petition,Australian Capital Territory,No,21,,
Mar-18,Debtor's petition,Other,No,9,,
Mar-18,Debtor's petition,Total,No,2630,,
Mar-18,Debtor's petition,New South Wales,Total,1062,,
Mar-18,Debtor's petition,Victoria,Total,641,,
Mar-18,Debtor's petition,Queensland,Total,1200,,
Mar-18,Debtor's petition,South Australia,Total,257,,
Mar-18,Debtor's petition,Western Australia,Total,527,,
Mar-18,Debtor's petition,Tasmania,Total,120,,
Mar-18,Debtor's petition,Northern Territory,Total,36,,
Mar-18,Debtor's petition,Australian Capital Territory,Total,34,,
Mar-18,Debtor's petition,Other,Total,20,,
Mar-18,Debtor's petition,Total,Total,3897,,
Mar-18,Sequestration order,New South Wales,Yes,53,,
Mar-18,Sequestration order,Victoria,Yes,49,,
Mar-18,Sequestration order,Queensland,Yes,72,,
Mar-18,Sequestration order,South Australia,Yes,17,,
Mar-18,Sequestration order,Western Australia,Yes,31,,
Mar-18,Sequestration order,Tasmania,Yes,2,,
Mar-18,Sequestration order,Northern Territory,Yes,3,,
Mar-18,Sequestration order,Australian Capital Territory,Yes,1,,
Mar-18,Sequestration order,Other,Yes,0,,
Mar-18,Sequestration order,Total,Yes,228,,
Mar-18,Sequestration order,New South Wales,No,47,,
Mar-18,Sequestration order,Victoria,No,40,,
Mar-18,Sequestration order,Queensland,No,36,,
Mar-18,Sequestration order,South Australia,No,6,,
Mar-18,Sequestration order,Western Australia,No,16,,
Mar-18,Sequestration order,Tasmania,No,2,,
Mar-18,Sequestration order,Northern Territory,No,2,,
Mar-18,Sequestration order,Australian Capital Territory,No,2,,
Mar-18,Sequestration order,Other,No,0,,
Mar-18,Sequestration order,Total,No,151,,
Mar-18,Sequestration order,New South Wales,Total,100,,
Mar-18,Sequestration order,Victoria,Total,89,,
Mar-18,Sequestration order,Queensland,Total,108,,
Mar-18,Sequestration order,South Australia,Total,23,,
Mar-18,Sequestration order,Western Australia,Total,47,,
Mar-18,Sequestration order,Tasmania,Total,4,,
Mar-18,Sequestration order,Northern Territory,Total,5,,
Mar-18,Sequestration order,Australian Capital Territory,Total,3,,
Mar-18,Sequestration order,Other,Total,0,,
Mar-18,Sequestration order,Total,Total,379,,
Mar-18,Total bankruptcies,New South Wales,Yes,376,,
Mar-18,Total bankruptcies,Victoria,Yes,273,,
Mar-18,Total bankruptcies,Queensland,Yes,460,,
Mar-18,Total bankruptcies,South Australia,Yes,96,,
Mar-18,Total bankruptcies,Western Australia,Yes,224,,
Mar-18,Total bankruptcies,Tasmania,Yes,23,,
Mar-18,Total bankruptcies,Northern Territory,Yes,18,,
Mar-18,Total bankruptcies,Australian Capital Territory,Yes,14,,
Mar-18,Total bankruptcies,Other,Yes,11,,
Mar-18,Total bankruptcies,Total,Yes,1495,,
Mar-18,Total bankruptcies,New South Wales,No,786,,
Mar-18,Total bankruptcies,Victoria,No,457,,
Mar-18,Total bankruptcies,Queensland,No,848,,
Mar-18,Total bankruptcies,South Australia,No,184,,
Mar-18,Total bankruptcies,Western Australia,No,350,,
Mar-18,Total bankruptcies,Tasmania,No,101,,
Mar-18,Total bankruptcies,Northern Territory,No,23,,
Mar-18,Total bankruptcies,Australian Capital Territory,No,23,,
Mar-18,Total bankruptcies,Other,No,9,,
Mar-18,Total bankruptcies,Total,No,2781,,
Mar-18,Total bankruptcies,New South Wales,Total,1162,,
Mar-18,Total bankruptcies,Victoria,Total,730,,
Mar-18,Total bankruptcies,Queensland,Total,1308,,
Mar-18,Total bankruptcies,South Australia,Total,280,,
Mar-18,Total bankruptcies,Western Australia,Total,574,,
Mar-18,Total bankruptcies,Tasmania,Total,124,,
Mar-18,Total bankruptcies,Northern Territory,Total,41,,
Mar-18,Total bankruptcies,Australian Capital Territory,Total,37,,
Mar-18,Total bankruptcies,Other,Total,20,,
Mar-18,Total bankruptcies,Total,Total,4276,,
Mar-18,Deceased estate,New South Wales,Yes,0,,
Mar-18,Deceased estate,Victoria,Yes,0,,
Mar-18,Deceased estate,Queensland,Yes,0,,
Mar-18,Deceased estate,South Australia,Yes,0,,
Mar-18,Deceased estate,Western Australia,Yes,0,,
Mar-18,Deceased estate,Tasmania,Yes,0,,
Mar-18,Deceased estate,Northern Territory,Yes,0,,
Mar-18,Deceased estate,Australian Capital Territory,Yes,0,,
Mar-18,Deceased estate,Other,Yes,3,,
Mar-18,Deceased estate,Total,Yes,3,,
Mar-18,Deceased estate,New South Wales,No,0,,
Mar-18,Deceased estate,Victoria,No,0,,
Mar-18,Deceased estate,Queensland,No,0,,
Mar-18,Deceased estate,South Australia,No,0,,
Mar-18,Deceased estate,Western Australia,No,0,,
Mar-18,Deceased estate,Tasmania,No,0,,
Mar-18,Deceased estate,Northern Territory,No,0,,
Mar-18,Deceased estate,Australian Capital Territory,No,0,,
Mar-18,Deceased estate,Other,No,2,,
Mar-18,Deceased estate,Total,No,2,,
Mar-18,Deceased estate,New South Wales,Total,0,,
Mar-18,Deceased estate,Victoria,Total,0,,
Mar-18,Deceased estate,Queensland,Total,0,,
Mar-18,Deceased estate,South Australia,Total,0,,
Mar-18,Deceased estate,Western Australia,Total,0,,
Mar-18,Deceased estate,Tasmania,Total,0,,
Mar-18,Deceased estate,Northern Territory,Total,0,,
Mar-18,Deceased estate,Australian Capital Territory,Total,0,,
Mar-18,Deceased estate,Other,Total,5,,
Mar-18,Deceased estate,Total,Total,5,,
Mar-18,Debt agreement,New South Wales,Yes,78,,
Mar-18,Debt agreement,Victoria,Yes,46,,
Mar-18,Debt agreement,Queensland,Yes,76,,
