Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Sep-07,Total personal insolvencies,Victoria,Total,1962,,
Sep-07,Total personal insolvencies,Queensland,Total,1830,,
Sep-07,Total personal insolvencies,South Australia,Total,561,,
Sep-07,Total personal insolvencies,Western Australia,Total,402,,
Sep-07,Total personal insolvencies,Tasmania,Total,237,,
Sep-07,Total personal insolvencies,Northern Territory,Total,39,,
Sep-07,Total personal insolvencies,Australian Capital Territory,Total,65,,
Sep-07,Total personal insolvencies,Other,Total,38,,
Sep-07,Total personal insolvencies,Total,Total,8089,,
Dec-07,Debtor's petition,New South Wales,Yes,677,,
Dec-07,Debtor's petition,Victoria,Yes,365,,
Dec-07,Debtor's petition,Queensland,Yes,388,,
Dec-07,Debtor's petition,South Australia,Yes,91,,
Dec-07,Debtor's petition,Western Australia,Yes,82,,
Dec-07,Debtor's petition,Tasmania,Yes,32,,
Dec-07,Debtor's petition,Northern Territory,Yes,7,,
Dec-07,Debtor's petition,Australian Capital Territory,Yes,23,,
Dec-07,Debtor's petition,Other,Yes,9,,
Dec-07,Debtor's petition,Total,Yes,1674,,
Dec-07,Debtor's petition,New South Wales,No,1468,,
Dec-07,Debtor's petition,Victoria,No,821,,
Dec-07,Debtor's petition,Queensland,No,895,,
Dec-07,Debtor's petition,South Australia,No,373,,
Dec-07,Debtor's petition,Western Australia,No,211,,
Dec-07,Debtor's petition,Tasmania,No,133,,
Dec-07,Debtor's petition,Northern Territory,No,24,,
Dec-07,Debtor's petition,Australian Capital Territory,No,38,,
Dec-07,Debtor's petition,Other,No,6,,
Dec-07,Debtor's petition,Total,No,3969,,
Dec-07,Debtor's petition,New South Wales,Total,2145,,
Dec-07,Debtor's petition,Victoria,Total,1186,,
Dec-07,Debtor's petition,Queensland,Total,1283,,
Dec-07,Debtor's petition,South Australia,Total,464,,
Dec-07,Debtor's petition,Western Australia,Total,293,,
Dec-07,Debtor's petition,Tasmania,Total,165,,
Dec-07,Debtor's petition,Northern Territory,Total,31,,
Dec-07,Debtor's petition,Australian Capital Territory,Total,61,,
Dec-07,Debtor's petition,Other,Total,15,,
Dec-07,Debtor's petition,Total,Total,5643,,
Dec-07,Sequestration order,New South Wales,Yes,172,,
Dec-07,Sequestration order,Victoria,Yes,121,,
Dec-07,Sequestration order,Queensland,Yes,90,,
Dec-07,Sequestration order,South Australia,Yes,12,,
Dec-07,Sequestration order,Western Australia,Yes,19,,
Dec-07,Sequestration order,Tasmania,Yes,9,,
Dec-07,Sequestration order,Northern Territory,Yes,1,,
Dec-07,Sequestration order,Australian Capital Territory,Yes,2,,
Dec-07,Sequestration order,Other,Yes,3,,
Dec-07,Sequestration order,Total,Yes,429,,
Dec-07,Sequestration order,New South Wales,No,87,,
Dec-07,Sequestration order,Victoria,No,75,,
Dec-07,Sequestration order,Queensland,No,27,,
Dec-07,Sequestration order,South Australia,No,10,,
Dec-07,Sequestration order,Western Australia,No,13,,
Dec-07,Sequestration order,Tasmania,No,1,,
Dec-07,Sequestration order,Northern Territory,No,1,,
Dec-07,Sequestration order,Australian Capital Territory,No,1,,
Dec-07,Sequestration order,Other,No,5,,
Dec-07,Sequestration order,Total,No,220,,
Dec-07,Sequestration order,New South Wales,Total,259,,
Dec-07,Sequestration order,Victoria,Total,196,,
Dec-07,Sequestration order,Queensland,Total,117,,
Dec-07,Sequestration order,South Australia,Total,22,,
Dec-07,Sequestration order,Western Australia,Total,32,,
Dec-07,Sequestration order,Tasmania,Total,10,,
Dec-07,Sequestration order,Northern Territory,Total,2,,
Dec-07,Sequestration order,Australian Capital Territory,Total,3,,
Dec-07,Sequestration order,Other,Total,8,,
Dec-07,Sequestration order,Total,Total,649,,
Dec-07,Total bankruptcies,New South Wales,Yes,849,,
Dec-07,Total bankruptcies,Victoria,Yes,486,,
Dec-07,Total bankruptcies,Queensland,Yes,478,,
Dec-07,Total bankruptcies,South Australia,Yes,103,,
Dec-07,Total bankruptcies,Western Australia,Yes,101,,
Dec-07,Total bankruptcies,Tasmania,Yes,41,,
Dec-07,Total bankruptcies,Northern Territory,Yes,8,,
Dec-07,Total bankruptcies,Australian Capital Territory,Yes,25,,
Dec-07,Total bankruptcies,Other,Yes,12,,
Dec-07,Total bankruptcies,Total,Yes,2103,,
Dec-07,Total bankruptcies,New South Wales,No,1555,,
Dec-07,Total bankruptcies,Victoria,No,896,,
Dec-07,Total bankruptcies,Queensland,No,922,,
Dec-07,Total bankruptcies,South Australia,No,383,,
Dec-07,Total bankruptcies,Western Australia,No,224,,
Dec-07,Total bankruptcies,Tasmania,No,134,,
Dec-07,Total bankruptcies,Northern Territory,No,25,,
Dec-07,Total bankruptcies,Australian Capital Territory,No,39,,
Dec-07,Total bankruptcies,Other,No,11,,
Dec-07,Total bankruptcies,Total,No,4189,,
Dec-07,Total bankruptcies,New South Wales,Total,2404,,
Dec-07,Total bankruptcies,Victoria,Total,1382,,
Dec-07,Total bankruptcies,Queensland,Total,1400,,
Dec-07,Total bankruptcies,South Australia,Total,486,,
Dec-07,Total bankruptcies,Western Australia,Total,325,,
Dec-07,Total bankruptcies,Tasmania,Total,175,,
Dec-07,Total bankruptcies,Northern Territory,Total,33,,
Dec-07,Total bankruptcies,Australian Capital Territory,Total,64,,
Dec-07,Total bankruptcies,Other,Total,23,,
Dec-07,Total bankruptcies,Total,Total,6292,,
Dec-07,Deceased estate,New South Wales,Yes,0,,
Dec-07,Deceased estate,Victoria,Yes,0,,
Dec-07,Deceased estate,Queensland,Yes,1,,
Dec-07,Deceased estate,South Australia,Yes,0,,
Dec-07,Deceased estate,Western Australia,Yes,0,,
Dec-07,Deceased estate,Tasmania,Yes,0,,
Dec-07,Deceased estate,Northern Territory,Yes,0,,
Dec-07,Deceased estate,Australian Capital Territory,Yes,0,,
Dec-07,Deceased estate,Other,Yes,1,,
Dec-07,Deceased estate,Total,Yes,2,,
Dec-07,Deceased estate,New South Wales,No,1,,
Dec-07,Deceased estate,Victoria,No,0,,
Dec-07,Deceased estate,Queensland,No,0,,
Dec-07,Deceased estate,South Australia,No,0,,
Dec-07,Deceased estate,Western Australia,No,0,,
Dec-07,Deceased estate,Tasmania,No,0,,
Dec-07,Deceased estate,Northern Territory,No,0,,
Dec-07,Deceased estate,Australian Capital Territory,No,0,,
Dec-07,Deceased estate,Other,No,2,,
Dec-07,Deceased estate,Total,No,3,,
Dec-07,Deceased estate,New South Wales,Total,1,,
Dec-07,Deceased estate,Victoria,Total,0,,
Dec-07,Deceased estate,Queensland,Total,1,,
Dec-07,Deceased estate,South Australia,Total,0,,
Dec-07,Deceased estate,Western Australia,Total,0,,
Dec-07,Deceased estate,Tasmania,Total,0,,
Dec-07,Deceased estate,Northern Territory,Total,0,,
Dec-07,Deceased estate,Australian Capital Territory,Total,0,,
Dec-07,Deceased estate,Other,Total,3,,
Dec-07,Deceased estate,Total,Total,5,,
Dec-07,Debt agreement,New South Wales,Yes,21,,
Dec-07,Debt agreement,Victoria,Yes,15,,
Dec-07,Debt agreement,Queensland,Yes,18,,
Dec-07,Debt agreement,South Australia,Yes,0,,
Dec-07,Debt agreement,Western Australia,Yes,5,,
Dec-07,Debt agreement,Tasmania,Yes,0,,
Dec-07,Debt agreement,Northern Territory,Yes,0,,
Dec-07,Debt agreement,Australian Capital Territory,Yes,0,,
Dec-07,Debt agreement,Other,Yes,0,,
Dec-07,Debt agreement,Total,Yes,59,,
Dec-07,Debt agreement,New South Wales,No,440,,
Dec-07,Debt agreement,Victoria,No,436,,
Dec-07,Debt agreement,Queensland,No,329,,
Dec-07,Debt agreement,South Australia,No,43,,
Dec-07,Debt agreement,Western Australia,No,92,,
Dec-07,Debt agreement,Tasmania,No,19,,
Dec-07,Debt agreement,Northern Territory,No,12,,
Dec-07,Debt agreement,Australian Capital Territory,No,19,,
Dec-07,Debt agreement,Other,No,2,,
Dec-07,Debt agreement,Total,No,1392,,
Dec-07,Debt agreement,New South Wales,Total,461,,
Dec-07,Debt agreement,Victoria,Total,451,,
Dec-07,Debt agreement,Queensland,Total,347,,
Dec-07,Debt agreement,South Australia,Total,43,,
Dec-07,Debt agreement,Western Australia,Total,97,,
Dec-07,Debt agreement,Tasmania,Total,19,,
Dec-07,Debt agreement,Northern Territory,Total,12,,
Dec-07,Debt agreement,Australian Capital Territory,Total,19,,
Dec-07,Debt agreement,Other,Total,2,,
Dec-07,Debt agreement,Total,Total,1451,,
Dec-07,Personal insolvency agreement,New South Wales,Yes,8,,
Dec-07,Personal insolvency agreement,Victoria,Yes,25,,
Dec-07,Personal insolvency agreement,Queensland,Yes,14,,
Dec-07,Personal insolvency agreement,South Australia,Yes,4,,
Dec-07,Personal insolvency agreement,Western Australia,Yes,7,,
Dec-07,Personal insolvency agreement,Tasmania,Yes,0,,
Dec-07,Personal insolvency agreement,Northern Territory,Yes,0,,
Dec-07,Personal insolvency agreement,Australian Capital Territory,Yes,1,,
Dec-07,Personal insolvency agreement,Other,Yes,0,,
Dec-07,Personal insolvency agreement,Total,Yes,59,,
Dec-07,Personal insolvency agreement,New South Wales,No,3,,
Dec-07,Personal insolvency agreement,Victoria,No,25,,
Dec-07,Personal insolvency agreement,Queensland,No,0,,
Dec-07,Personal insolvency agreement,South Australia,No,0,,
Dec-07,Personal insolvency agreement,Western Australia,No,4,,
Dec-07,Personal insolvency agreement,Tasmania,No,0,,
Dec-07,Personal insolvency agreement,Northern Territory,No,0,,
Dec-07,Personal insolvency agreement,Australian Capital Territory,No,0,,
Dec-07,Personal insolvency agreement,Other,No,0,,
Dec-07,Personal insolvency agreement,Total,No,32,,
Dec-07,Personal insolvency agreement,New South Wales,Total,11,,
Dec-07,Personal insolvency agreement,Victoria,Total,50,,
Dec-07,Personal insolvency agreement,Queensland,Total,14,,
Dec-07,Personal insolvency agreement,South Australia,Total,4,,
Dec-07,Personal insolvency agreement,Western Australia,Total,11,,
Dec-07,Personal insolvency agreement,Tasmania,Total,0,,
Dec-07,Personal insolvency agreement,Northern Territory,Total,0,,
Dec-07,Personal insolvency agreement,Australian Capital Territory,Total,1,,
